source_file,sheet_name,detected_header_row_zero_based,detected_columns
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,GOV.BUD,3,البيان | FY 2023 Budget | FY 2023 Actual | FY 2024 Budget | Items
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Summary,3,أداء الميزانية العامة للدولة للربع الثاني من السنة المالية الحالية 1445/ 1446هـ (2024م) | Quarterly Budget Performance Report of FY 2024 Q2 (1445/1446 H) | Column_3 | Column_4
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Revenues,3,الإيرادات* | Total | Q2 2024 | Q1 2024 | Revenues* | Column_6
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Expenditures ,3,المصروفات* | Total | Q2 2024 | Q1 2024 | Expenditures* | Column_6 | Column_7
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Deficit,3,البيان | Total | Q2 2024 | Q1 2024 | Item
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Expenditures,14,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual expenditures in Q1 of FY 2023 Vs. Q1 of FY 2022 | Column_6 | Column_7
2024__e516a48435__Quarterly_Budget_Performance_Report_Q2_2024-all.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
Q3-2023 Quarterly Budget Performance Tables.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
Q3-2023 Quarterly Budget Performance Tables.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام، بالاضافة إلى رصيد الاحتياطي العام للدولة والحساب الجاري. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt, In addition to government reserve and current account. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
Q3-2023 Quarterly Budget Performance Tables.xlsx,GOV.BUD,3,البيان | FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | Items
Q3-2023 Quarterly Budget Performance Tables.xlsx,Summary,6,أداء الميزانية العامة للدولة للربع الثالث من السنة المالية الحالية 1444/ 1445هـ (2023م) النتائج الفعلية لأداء الإيرادات غير النفطية من السنة المالية 1445/1444هـ (2023م) | Column_2 | Column_3 | Quarterly Budget Performance Report of FY 2023 Q3 (1444/1445 H) | Column_5 | Column_6 | Actual Performance of Non-oil Revenues of FY 2023
Q3-2023 Quarterly Budget Performance Tables.xlsx,Revenues,3,الإيرادات* | الإجمالي | Q3 | Q2 | Q1 | Revenues*
Q3-2023 Quarterly Budget Performance Tables.xlsx,Expenditures,3,المصروفات* | Total | Q3 | Q2 | Q1 | Expenditures* | Column_7
Q3-2023 Quarterly Budget Performance Tables.xlsx,Financing,3,البيان | الإجمالي | Q3 2023 | Q2 2023 | Q1 2023 | Item
Q3-2023 Quarterly Budget Performance Tables.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
Q3-2023 Quarterly Budget Performance Tables.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
Q3-2023 Quarterly Budget Performance Tables.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام، بالاضافة إلى رصيد الاحتياطي العام للدولة والحساب الجاري. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt, In addition to government reserve and current account. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,GOV.BUD,3,البيان | FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | FY 2023 Actual | Items
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Summary,6,أداء الميزانية العامة للدولة للربع الرابع من السنة المالية الحالية 1444/ 1445هـ (2023م) النتائج الفعلية لأداء الإيرادات غير النفطية من السنة المالية 1445/1444هـ (2023م) | Column_2 | Column_3 | Quarterly Budget Performance Report of FY 2023 Q4 (1444/1445 H) | Column_5 | Column_6 | Actual Performance of Non-oil Revenues of FY 2023
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Revenues,3,الإيرادات* | الإجمالي | Q4 | Q3 | Q2 | Q1 | Revenues*
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Expenditures,3,المصروفات* | Total | Q4 | Q3 | Q2 | Q1 | Expenditures*
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Financing,3,البيان | الإجمالي | Q4 2023 | Q3 2023 | Q2 2023 | Q1 2023 | Item
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
Q4-2023 Quarterly Budget Performance Table_Final.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
Quarterly Budget Performance Report_Q1_2023.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
Quarterly Budget Performance Report_Q1_2023.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
Quarterly Budget Performance Report_Q1_2023.xlsx,GOV.BUD,3,البيان | FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | Items
Quarterly Budget Performance Report_Q1_2023.xlsx,Summary,2,(مليون ريال) | Column_2 | (SAR Million)
Quarterly Budget Performance Report_Q1_2023.xlsx,Revenues,13,الإيرادات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual revenues in Q1 of FY 2022 Vs. Q1 of FY 2023
Quarterly Budget Performance Report_Q1_2023.xlsx,Expenditures,14,المصروفات الفعلية للربع الأول من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual expenditures in Q1 of FY 2022 Vs. Q1 of FY 2023 | Column_6 | Column_7
Quarterly Budget Performance Report_Q1_2023.xlsx,Surplus - (Deficit),3,البيان فائض/(عجز) الفترة | Q1 2023 -2910.375343265536 | Item Surplus/(Deficit)
Quarterly Budget Performance Report_Q1_2023.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
Quarterly Budget Performance Report_Q1_2023.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
Quarterly Budget Performance Report_Q1_2023.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,T.CONTENT,4,الإيرادات المصروفات | Revenues Expenditures
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,INTRODUCTION,1,"تم إعداد هذا التقرير الربع سنوي من قبل وزارة المالية، ويحتوي على بيانات تفصيلية لحركة الإيرادات والمصروفات خلال الربع المحدد بالتقرير، إضافة إلى الفائض (أو العجز) المحقق وآلية تمويله والدين العام، بالاضافة إلى رصيد الاحتياطي العام للدولة والحساب الجاري. وتسعى وزارة المالية من خلال نشر هذا التقرير - بشكل دوري - إلى إعطاء مزيد من الشفافية حول أداء المالية العامة وفق معايير الإفصاح المالي. كما تجدر الإشارة إلى أن إعداد الميزانية العامة للدولة يتم على الأساس المحاسبي النقدي، مع العلم أن البيانات المالية الواردة في التقرير مبوبة حسب دليل إحصاءات مالية الحكومة (GFSM 2014)، الذي يُصدره صندوق النقد الدولي كتصنيف عالمي موحد. كما يتضمن التقرير قائمة بالمصطلحات وشروحاتها. | This quarterly report is published by the Ministry of Finance (MoF) to provide detailed fiscal data covering performance during the specified quarter including revenues, expenditures, it’s funding sources and the change in public debt, In addition to government reserve and current account. Through the periodical publication of this report, budget deficit, MoF seeks to enhance transparency in accordance with financial disclosure standards. It should be noted that fiscal accounts as presented in this report are based on cash basis of accounting and are classified according to the Government Finance Statistics Manual (GFSM 2014), published by the International Monetary Fund (IMF). A glossary section is provided at the end of this report. | Column_3"
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,GOV.BUD,3,البيان | FY 2022 Budget | FY 2022 Actual | FY 2023 Budget | Items
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Summary,2,(مليون ريال) | Column_2 | (SAR Million)
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Revenues,13,الإيرادات الفعلية للربع الثاني من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual revenues in Q2 of FY 2022 Vs. Q2 of FY 2023 | Column_6
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Expenditures,14,المصروفات الفعلية للربع الثاني من السنة المالية 1444/ 1445هـ (2023م) | Column_2 | Column_3 | Column_4 | Actual expenditures in Q2 of FY 2022 Vs. Q2 of FY 2023 | Column_6 | Column_7
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Financing,3,البيان | الإجمالي | Q2 2023 | Q1 2023 | Item
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Gov.Reserve,2,(مليون ريال) | Column_2 | (SAR Million)
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Debt,3,الدين العام | البيان | الدين الداخلي Domestic Debt | الدين الخارجي External Debt | Item | Public Debt
Quarterly_Budget _Performance_Report_Q2_2023.xlsx,Appendix,5,"ضرائب على التجارة والمعاملات (رسوم جمركية) ضرائب أخرى | هي رسوم على السلع لأنها تدخل البلد المعني أو على خدمات، لأنها مقدمة من غير مقيمين إلى مقيمين. وقد تفرض هذه الرسوم لأغراض جباية الإيرادات أو لأغراض الحماية، وقد تحدد على أساس معين أو حسب القيمة. الضرائب الأخرى المدفوعة من شركات الأعمال فقط (زكاة الشركات والمنشآت) والضرائب غير المصنفة. | Taxes that are payable when goods or services cross the national or customs frontiers of the economic territory, provided from nonresidents to residents. These fees might be imposed for revenue collection or protection purposes and may be determined on a certain criteria or by value. Other taxes paid by businesses only (corporate Zakat) and unidentified taxes. | Taxes on International Trade and Transactions (Customs) Other Taxes"
