source_page,url,link_text,extension,downloadable,year_guess,period_guess,file_type_guess
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport,Scroll,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/help/pages/mobile.aspx,linktext,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/generalservcies/Pages/sitemap.aspx,,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/generalservcies/open-data,Open Data,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Pages/addcomplaint.aspx,Contact Us,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/,عربي,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/,,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/budget/Pages/default.aspx,Budget Statement,,False,,Budget Statement,budget_statement
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/Pages/default.aspx,Budget Performance Reports Currently selected,,False,,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,Budget performance reports for 2025,,False,2025.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2026/Pages/default.aspx,Budget Performance reports for 2026,,False,2026.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Pages/default.aspx,MOF Portal,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2024/Pages/default.aspx,Budget performance reports for 2024,,False,2024.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,Budget performance reports for 2023,,False,2023.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,Budget performance reports for 2022,,False,2022.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2021/Pages/default.aspx,Budget performance reports for 2021,,False,2021.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2020/Pages/default.aspx,Budget performance reports for 2020,,False,2020.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2019/Pages/default.aspx,Budget performance reports for 2019,,False,2019.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2018/Pages/default.aspx,Budget performance reports for 2018,,False,2018.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2017/Pages/default.aspx,Budget performance reports for 2017,,False,2017.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/about/History/Pages/AboutUs.aspx,About Ministry,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/about/Pages/tasks.aspx,MOF Strategy,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/privacy.aspx,Privacy,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/mediacenter/news/Pages/default.aspx,News and Events,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/generalservcies/newsletter/Pages/step1.aspx,Subscribe,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Pages/eservices_SLA.aspx,Service level Agreement,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/disabilities.aspx,Accessibility,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/Pages/default.aspx,Contact Us,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/EParticipation/Pages/default.aspx,Engage with us,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Pages/nazaha.aspx,Report corruption,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/default.aspx,Frequently Asked Questions,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/Data_Sharing_Regulations.aspx,Freedom of information,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/generalservcies/Pages/privacy.aspx,Terms of Use,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/_LAYOUTS/15/MOFInternet/MOFInternetHandler.ashx?op=loadRss&siteUrl=/mediacenter/News&viewName=RSS,RSS,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/about/Pages/default.aspx,About Ministry,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/about/Pages/Digital-Transformation--at-the-Saudi-Ministry-of-Finance.aspx,Digital Transformation at the Saudi Ministry of Finance,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/about/Pages/Partnership.aspx,Partnerships,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/Pages/default.aspx,Document Library,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/media/photos,Photos Library,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/media/Videos,Videos Library,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary,Document Library,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/Budget/Pages/default.aspx,Budget Data,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/ContractsProjects/Pages/default.aspx,Contracts and Projects,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/GovernmentalAgreements/Pages/default.aspx,Governmental Agreements,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/MinistryModels/Pages/default.aspx,Ministry Models,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/RegulationsInstructions/Pages/default.aspx,Regulations and instructions,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/RegulationsInstructions/Pages/Archive.aspx,Regulations and instructions Archive,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/StatisticalData/Pages/default.aspx,Statistical Data,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/ApplicationsSubmission/Pages/default.aspx,Submission of applications,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/TrainingManuals/Pages/default.aspx,Training Manuals,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/Pages/home.aspx,Digital Library,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/docslibrary/Pages/PolicyArchive.aspx,Policy Archive,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Pages/default.aspx,E-Services,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/complaints/Pages/default.aspx,Complaints center,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/complaints/Pages/find.aspx,Find Complaint,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Pages/HelpAndSupport.aspx,Help ​and Support for Electronic Services,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Events/Pages/default.aspx,Events,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Loans/Pages/default.aspx,Loans,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Loans/Pages/Lending_hotel_projects.aspx,Rules for hotel Projects Loans,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Loans/Pages/Lending_Educational_Projects.aspx,Rules and Procedures Related for Lending Educational and Training Private Projects,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help,Contact us,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/FAQ_001.aspx,What are the fields financed by the Ministry?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/FAQ_002.aspx,What is the maximum for financing such fields?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/FAQ_003.aspx,Does obtaining a loan require waiting for a long time?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/FAQ_004.aspx,What are the requirements to obtain a loan?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/FAQ_005.aspx,What is the repayment period for each lending field?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/FAQ_006.aspx,What are the required conditions and documents to disburse food and fodder subsidies?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/FAQ_007.aspx,How can I view or get copies of one of the government laws and regulations?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_008.aspx,How can I know the prescribed times of prayer or get an e-copy of Umm Al Qura calendar?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_009.aspx,How can I get copies of Umm Al Qura calendar?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_010.aspx,When do the livestock zakat collectors commence their work in the field (provinces) each year?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_011.aspx,When do grain and fruit estimation committees commence their work each year?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_012.aspx,Are the state revenues collected through SADAD System?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_013.aspx,What is the SADAD System and what are its main objectives?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_014.aspx,Which revenue collectors' entities have already been linked to SADAD System and how many are left?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_015.aspx,How are government bills paid through the SADAD system?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_017.aspx,"The Royal Decree No. 15629/B dated October 11, 2007 exempts all deceased borrowers from the installments of the Real Estate Development Fund loans for residential purposes or the loans of the Saudi Credit and Savings Bank for social purposes, does it incl",,False,2007.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_018.aspx,"When do the heirs, who filed an exception, know that the deceased borrower has been released from the loan repayments to the Real Estate Development Fund?",,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_019.aspx,"How can orphans benefit from the Royal Decree No. 15629/B dated October 11, 2007 while they are alive or if any of them dies?",,False,2007.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/faq_020.aspx,"The Royal Decree No. 15629/B dated Oct 11 2007,exempts deceased borrowers from repaying the loan of the REDF. Does this include those who purchase a house financed by the REDF even when the loan is not transfer to their names before their death?",,False,2007.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/help/faq/Pages/FAQ_016.aspx,What is the Government Tenders and Procurement Law?,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/Pages/default1.aspx,Media Center,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/default.aspx,News,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/EgovNews/Pages/default.aspx,E-Government News,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/projectsnews/Pages/default.aspx,Projects news,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/News_15022024.aspx,“Government Sukuk” product closes its first savings round for February 2024 with a total amount of (861) million Saudi riyals.,,False,2024.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/-news2422021.aspx,Al-Jadaan Meets with U.S. Special Envoy for Yemen,,False,2021.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news_22012017.aspx,An Official Spokesman of the Ministry of Finance: No plan to impose government fees on financial transfers from Saudi Arabia to abroad,,False,2012.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news_25092017.aspx,Announcement of appointment of investment banks for potential offering under KSA Global Medium Term Notes program,,False,2017.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news2207020191.aspx,Closure of the July 2019 Issuance under the Saudi Arabian Government SAR-denominated Sukuk Program,,False,2070.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/News_26032020.aspx,Closure of the March 2020 Issuance under the Saudi Arabian Government SAR-denominated Sukuk Program,,False,2020.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news_21112016.aspx,"Ethiopian Prime Minister receives HE the Vice Minister of Finance, 21 / 02/1438.",,False,2016.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news_10112017.aspx,Finance Assistant Minister for Financial Technical Affairs Participates in the Eastern Economic Forum 2017 21/02/1439,,False,2017.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news_03112016.aspx,Minister of Finance meets Bahraini counterpart His Excellency Sheikh / Ahmed Al Khalifa,,False,2016.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/News_22022020.aspx,Ministry of Finance Signs a Memorandum of Understanding (MOU) with Italian Export Credit Agency to make the best use of financing for government projects,,False,2022.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news22072019.aspx,Ministry of Finance welcomes IMF Executive Board's statement on the 2019 Article IV consultation with Saudi Arabia,,False,2072.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news_22062017.aspx,"Ministry of Finance: Reimbursement of Allowances, Rewards and Financial Benefits Retroactively can be Absorbed from the Budget Items, 27/09/1438.",,False,2062.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/News_111220232.aspx,National Debt Management Center (NDMC) Finalizes Arrangement to Secure USD 11 billion Syndicated Loan to Accelerate Development and Infrastructure Projects,,False,2023.0,End-Year/Annual,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/News_21122021.aspx,NDMC closes the December 2021 Issuance under the Saudi Arabian Government SAR-denominated Sukuk Program,,False,2021.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/News_14022024.aspx,NDMC closes the February 2024 Issuance under the Saudi Arabian Government SAR-denominated Sukuk Program,,False,2024.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/News_20520251.aspx,NDMC closes the MAY 2025 Issuance under the Saudi Arabian Government SAR-Denominated Sukuk Program,,False,2052.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news_01052022_1.aspx,On the sidelines of the Prime Minister of Pakistan’s official visit to the Kingdom of Saudi Arabia Saudi Finance Minister discusses enhancing financial and economic bilateral relations with Pakistan’s Federal Minister of Finance and Revenue Affairs,,False,2022.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/MediaCenter/news/Pages/news_09012017.aspx,President of the Republic of Niger receives Finance Minister,,False,2017.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/media/Pages/default.aspx,Multimedia Library,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/media/photos/Pages/default.aspx,Photos Library,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/media/photos/Pages/Categories.aspx,Categories,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/media/Videos/Pages/default.aspx,Videos Library,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/media/Pages/Infographics.aspx,Infographics,,False,,,infographic
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/communication/Pages/default.aspx,Communicate with visitors,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/communication/Pages/social.aspx,Social Media,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/communication/Pages/Supporting_community.aspx,Supporting Society Groups,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/charter.aspx,About Portal,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal,charter,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/portalanalytics.aspx,Portal Analytics,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/personalization.aspx,Personalization,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/terms.aspx,Terms of Use,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/Disclaimer.aspx,Disclaimer,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/w3c.aspx,Application of W3C Standards,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/ssl.aspx,Information Security,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/budget/2024/Pages/default.aspx,Budget Statement 2024,,False,2024.0,Budget Statement,budget_statement
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/budget/2025/Pages/Home.aspx,Budget Statment 2025,,False,2025.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/budget/2026/Pages/Home.aspx,Budget Statment 2026,,False,2026.0,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/About_NDMC/Pages/default.aspx,National Debt Management Center,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/NewsandPressReleases/Pages/default.aspx,Press Releases,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/ReportsandStatistics/Pages/default.aspx,Statistics,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/IssuancePrograms/Pages/LocalIssuances.aspx,Issuance Programs,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/IssuancePrograms/Pages/Global_Medium_Term_Note_Programme.aspx,Global Medium Term Note Programme,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/IssuancePrograms/Pages/TrusT_Certificate_Issuance_Programme.aspx,Trust Certificate Issuance Programme,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/IssuancePrograms/Sukuk_Issuance_Program_in_Saudi_Riyal/Pages/default.aspx,Sukuk Issuance Program in Saudi Riyal,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/Pages/AnnualBorrowingPlan.aspx,Annual Borrowing Plan,,False,,End-Year/Annual,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/Pages/First_Dealers.aspx,Primary Dealers,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/investorsrelations/Pages/default.aspx,Investor Relations,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NDMC/investorsrelations/Pages/inquiry.aspx,Inquiry,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/EParticipation/Pages/EParticipation_policy.aspx,Community Participation Policy,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/EParticipation/Pages/Participation_In_Decision_Making.aspx,Participation in Decision-Making and Policies Formulation,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/EParticipation/Pages/participations.aspx,Consulting on laws and regulations,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/EParticipation/Pages/EparticipationChannels.aspx,Eparticipation Channels,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/EParticipation/Pages/CustomerVoice.aspx,Customer's Voice,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/UTFP/Pages/default.aspx,Macro Fiscal Policy Unit,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/nabawimasjeds/Pages/default.aspx,Nabawi masjed,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/NSDP/Pages/statistics.aspx,NSDP,,False,,,other_financial_file
