panel_entity,n_observations,mean_temporal_consistency,mean_risk_score,max_risk_score,anomaly_count
revenue_total_revenue_taxes_on_income_profit_and_capital_gains,14,0.3264811005218275,14.017869370046357,15.497289049556898,0
revenue_total_revenue_taxes_on_international_trade_and_transactions,14,0.33114004794870144,13.986506717789753,15.421029134077758,0
revenue_total_revenue_other_taxes,14,0.3522839965647983,14.07858213795409,15.531058980089455,0
revenue_total_revenue_5424_47_taxes_on_international_trade_and_transactions,3,0.36732660510247017,15.259215136954895,15.368114460054585,0
debt_external_debt_issuances_or_borrowings,10,0.4045466618006047,15.740489845027486,16.416531302679086,0
non_oil_revenue_non_oil_revenue_135083_12795419604_non_oil_revenues,4,0.43369023545646457,18.086515034641117,21.444874174037636,3
debt_domestic_debt_issuances_or_borrowings,12,0.4533735026840511,15.909882016782355,16.783378725548957,3
revenue_total_revenue_other_revenues,14,0.4880023752122055,14.237648205468304,16.279512407958574,0
expenditure_total_expenditure_health_social_development,13,0.49015393010495445,15.266806899992273,19.073197568099975,4
expenditure_total_expenditure_102819_40924245001_education,2,0.5,16.630697711061806,18.011625180720646,1
expenditure_total_expenditure_103232_80316220001_general_items,2,0.5,16.856029517511885,18.462289620085738,1
expenditure_total_expenditure_111248_4252618625_military,2,0.5,17.084720227131804,18.919667626559388,1
expenditure_total_expenditure_127945_24161820501_health_social_development,2,0.5,16.9336544275887,18.617541031756325,1
expenditure_total_expenditure_1443_1444_2022,2,0.5,15.20335485189321,15.2033925825028,0
expenditure_total_expenditure_1444_1445_2023,2,0.5,15.205873089358175,15.208429163397163,0
expenditure_total_expenditure_1445_1446_2024,2,0.5,15.210119343928586,15.216907702011273,0
expenditure_total_expenditure_18552_19621866_infrastructure_and_transportation,2,0.5,15.414309125972734,15.578848968342788,0
expenditure_total_expenditure_21682_808042535005_public_administration,2,0.5,15.451227843116197,15.652688055864788,0
expenditure_total_expenditure_26644_99596582_municipal_services,2,0.5,15.728312241022447,16.206857834050336,0
expenditure_total_expenditure_37337_94893015_economic_resources,2,0.5,15.65357540278227,16.057379878728316,0
expenditure_total_expenditure_54482_0435104_security_and_regional_administration,2,0.5,15.92229829868899,16.5948265876951,1
expenditure_total_expenditure_603945_8719522825,2,0.5,25.8564360626706,36.4631022095047,1
expenditure_total_expenditure_h1,2,0.5,15.195557705671677,15.198367292318327,0
non_oil_revenue_non_oil_revenue_102338_764773147_non_oil_revenues,2,0.5,17.110258857301382,18.128681571422046,1
non_oil_revenue_non_oil_revenue_94259_89162155999_non_oil_revenues,2,0.5,16.950454514602303,17.67223074602183,1
non_oil_revenue_non_oil_revenue_unknown,2,0.5,17.563976420046032,18.239671248171405,2
oil_revenue_oil_revenue_178605_46071_oil_revenues,2,0.5,18.63620251803584,20.735397342711625,2
oil_revenue_oil_revenue_183698_755811325_oil_revenues,2,0.5,20.57800404625,23.321240852480692,2
oil_revenue_oil_revenue_unknown,2,0.5,19.088684842486238,19.939126642736404,2
revenue_total_revenue_21486_932655519988_other_revenues,2,0.5,15.252209184068521,15.504389574444671,0
revenue_total_revenue_22442_517107516996_other_revenues,2,0.5,14.53514904559175,15.011538125367318,0
revenue_total_revenue_277958_647432885,2,0.5,22.808272544056543,26.30335006636628,2
revenue_total_revenue_280944_225483147,2,0.5,21.926403420942552,25.969186331335198,2
revenue_total_revenue_3177_6035160899996_other_taxes,2,0.5,15.139795055621864,15.274300622533838,0
revenue_total_revenue_4112_05065303_taxes_on_income_profit_and_capital_gains,2,0.5,15.132953042069307,15.142195516954668,0
revenue_total_revenue_4120_3888697_other_taxes,2,0.5,14.180696767014698,15.029302157354262,0
revenue_total_revenue_5064_22321262_taxes_on_international_trade_and_transactions,2,0.5,15.213692182396702,15.2444016577282,0
revenue_total_revenue_5500_6792824700005_taxes_on_international_trade_and_transactions,2,0.5,14.37142556546605,15.202566716069244,0
revenue_total_revenue_60419_0815843_taxes_on_goods_and_services,2,0.5,16.09913148231887,16.656813788650254,1
revenue_total_revenue_63086_93591_taxes_on_goods_and_services,2,0.5,15.827038510702629,16.249619577959237,0
revenue_total_revenue_7188_2436034600005_taxes_on_income_profit_and_capital_gains,2,0.5,14.276960573958267,15.088551347050002,0
surplus_deficit_surplus_deficit_financing_from_external_borrowing,2,0.5,15.258365077784111,15.2669600300253,0
surplus_deficit_surplus_deficit_from_borrowing,4,0.5020553075222227,15.07129917030323,16.12961919076978,0
expenditure_total_expenditure_general_items,13,0.5030548685325751,14.66367938663707,18.096766572854417,3
expenditure_total_expenditure_education,13,0.5076385312041475,14.889061041192393,17.897205792093203,3
revenue_total_revenue_5243_1281084_taxes_on_international_trade_and_transactions,4,0.511507055519883,14.847997471389307,15.409703698014015,0
revenue_total_revenue_10235_3_taxes_on_income_profit_and_capital_gains,3,0.5204040951340728,15.298324921872643,15.47048182169781,0
revenue_total_revenue_22623_861646690002_other_taxes,4,0.5267556442240822,14.94126743425165,15.563172118993569,0
revenue_total_revenue_16680_38199858_taxes_on_income_profit_and_capital_gains,4,0.5268688372691255,14.911797760939482,15.570739192238447,0
expenditure_total_expenditure_security_and_regional_administration,13,0.5279157933963649,13.865074585879968,16.682738880622185,2
expenditure_total_expenditure_unknown,14,0.533955874295682,13.200112584088581,19.92549844250235,1
revenue_total_revenue_19846_8_other_taxes,3,0.5361919344079628,15.320759499284298,15.503043665185418,0
other_other_end_of_period_balance,11,0.543618553123781,16.551703990951196,19.45486946634872,5
debt_domestic_debt_end_of_period_balance,12,0.5445551641634654,20.332714742407862,27.723648458659543,12
revenue_total_revenue_3689_8080619899997_other_taxes,3,0.5447365500459909,15.44750403031656,15.738383865225822,0
expenditure_total_expenditure_social_benefits,14,0.5496598659515886,15.146719366206145,16.184897258031015,0
expenditure_total_expenditure_economic_resources,13,0.5577794544342372,13.470200043439482,16.169555094604508,0
debt_external_debt_end_of_period_balance,12,0.5583789726484693,18.499912777791426,22.49376025548153,11
expenditure_total_expenditure_municipal_services,13,0.5634962475112706,13.47527642768223,16.75185011890967,1
expenditure_total_expenditure_military,13,0.565925844211373,15.407246413189764,18.74727913535284,4
expenditure_total_expenditure_expenditures,7,0.5683348021123587,32.055653130505206,46.33692488127053,6
expenditure_total_expenditure_financing_expenses,14,0.5719364516802011,14.79440767507278,15.527775101479335,0
other_other_current_account,7,0.5747205591122351,15.240984758228254,15.262353246938924,0
expenditure_total_expenditure_subsidies,14,0.5752364860221183,14.76961307293662,15.454830544827376,0
expenditure_total_expenditure_grants,14,0.5806830851599069,14.720682962591672,15.292977311938701,0
expenditure_total_expenditure_infrastructure_and_transportation,13,0.59119820548535,13.141514034894678,15.65609206494631,0
revenue_total_revenue_370365,3,0.5943795471121319,22.782929970026633,30.206404694581412,3
surplus_deficit_surplus_deficit_unlabeled_row,4,0.5974435737932187,16.075552414653245,16.70377062443752,1
expenditure_total_expenditure_public_administration,13,0.5994179196890859,13.162636213231565,15.767092136994107,0
revenue_total_revenue_6544_7607403_taxes_on_income_profit_and_capital_gains,3,0.5998893553255674,15.347147725708501,15.455230739489611,0
non_oil_revenue_non_oil_revenue_120000_5_non_oil_revenues,3,0.6092807187935871,17.698854912969242,20.553642491158854,2
debt_external_debt_unlabeled_row,8,0.6093086655500944,18.378399246405838,22.52602019095173,5
revenue_total_revenue_64220_taxes_on_goods_and_services,3,0.6097268131376142,16.610597844746792,18.35194843956224,1
expenditure_total_expenditure_other_expenses,14,0.6155099917724488,15.240930972159239,16.26715790318037,0
expenditure_total_expenditure_sector,13,0.6158110950822279,14.797782835500884,15.26474895490141,0
revenue_total_revenue_taxes_on_goods_and_services,14,0.6179561636015656,15.340172412971707,18.6108221922605,4
revenue_total_revenue_314822_867450183,4,0.6198943162009576,24.624946838117697,31.92707985398297,4
debt_domestic_debt_beginning_of_period_balance,8,0.6200251582389569,24.173844625798097,36.30227814491635,8
revenue_total_revenue_24405_829689206028_other_revenues,4,0.625065784489218,15.196742212360775,16.176439879066397,0
revenue_total_revenue_unknown,14,0.6262795144792327,20.82092086592583,28.63478289455831,12
oil_revenue_oil_revenue_250364_oil_revenues,3,0.6271573315438324,20.188708959257678,24.35094457765089,3
debt_domestic_debt_unlabeled_row,8,0.6275121906374221,20.57937873610783,28.733363434600335,8
oil_revenue_oil_revenue_179739_739495987_oil_revenues,4,0.6305553441176269,20.958377962578247,25.237836375800775,4
revenue_total_revenue_66129_92651132001_taxes_on_goods_and_services,4,0.6330238650027089,16.47029378851122,18.554685566735248,1
other_other_government_reserves,9,0.643249379728116,15.243814277978693,15.262353246938924,0
non_oil_revenue_non_oil_revenue_111511_75445118701_non_oil_revenues,3,0.6469279761351939,17.414960125210253,20.615295308255288,1
surplus_deficit_surplus_deficit_financing,6,0.6476211970729775,15.182918555933748,16.129650842906752,0
debt_external_debt_principal_repayment,11,0.6504538304134839,15.690048584527755,17.39448395720115,2
revenue_total_revenue_6033_478346229999_taxes_on_international_trade_and_transactions,3,0.6529071888032587,15.294957757582031,15.423515190147558,0
revenue_total_revenue_293433_36376781197,3,0.6535055742077777,21.160927180023734,28.835603091927197,3
revenue_total_revenue_25340_736933747008_other_revenues,3,0.6566988473090356,15.511364974284282,16.340720803700403,0
oil_revenue_oil_revenue_181921_609316625_oil_revenues,3,0.6579442026514614,18.4728767234875,22.924735155009024,1
revenue_total_revenue_unlabeled_row,12,0.661631922447718,14.621389148418231,15.264738579613827,0
revenue_total_revenue_69902_97036892_taxes_on_goods_and_services,3,0.6635129616017046,16.141198875763852,17.98635494126134,1
revenue_total_revenue_20273_7_other_revenues,3,0.664388079969448,15.448956834888122,15.96368611985503,0
debt_public_debt_unlabeled_row,7,0.6645484312855735,15.190426638650056,15.205167913852968,0
other_other_2023_2023,3,0.665183969168711,14.65782638191463,15.257728436282965,0
debt_external_debt_amortization_of_government_bonds,3,0.6666666666666666,15.249741489051635,15.249741803453803,0
expenditure_total_expenditure_use_of_goods_and_services,14,0.6691103001812454,16.8481000115814,19.84290142962054,9
expenditure_total_expenditure_non_financial_assets_capex,14,0.6695608106686556,15.72448569935545,17.230013229248247,5
expenditure_total_expenditure_unlabeled_row,14,0.6704188244719976,13.756610366152078,15.266202194871536,0
surplus_deficit_surplus_deficit_surplus_deficit,15,0.6923761939585378,15.161078705751745,20.26511369163558,6
oil_revenue_oil_revenue_oil_revenues,14,0.6938030407762208,18.397942412457166,26.968715207326365,9
expenditure_total_expenditure_compensation_of_employees,14,0.7084725153657082,18.70815700261062,25.059206787967003,9
debt_domestic_debt_amortization_of_government_bonds,7,0.7142910562098382,15.252679177164975,15.262353246938924,0
revenue_total_revenue_revenues,15,0.7197817220569938,31.72068647909924,73.44703619695923,12
debt_domestic_debt_principal_repayment,12,0.7257934853243517,15.291828140607398,15.790456476440063,0
revenue_total_revenue_generic,11,0.7412387119806454,15.239220574652945,15.264744025728099,0
surplus_deficit_surplus_deficit_government_reserves,5,0.7450088715729223,15.245313920650068,15.263270873859744,0
debt_domestic_debt_financing_from_domestic_borrowing,9,0.7455669497952216,15.296736214960314,15.682394231373637,0
non_oil_revenue_non_oil_revenue_non_oil_revenues,14,0.7886629677680584,17.77118132868363,38.4687354311663,6
debt_external_debt_financing_from_external_borrowing,9,0.7961449167850779,14.973329617706241,15.684112001678226,0
other_other_financing,9,0.8034425166607895,15.014005766952257,15.783389271097658,0
surplus_deficit_surplus_deficit_current_account,2,1.0,15.249741331850549,15.249741331850549,0
surplus_deficit_surplus_deficit_financing_from_domestic_borrowing,2,1.0,15.249741331850549,15.249741331850549,0
expenditure_total_expenditure_105119_87979830823_military,1,1.0,15.529370974801685,15.529370974801685,0
expenditure_total_expenditure_14252_23284817001_municipal_services,1,1.0,14.914607224884213,14.914607224884213,0
expenditure_total_expenditure_14861_801751082518_public_administration,1,1.0,14.979371727682429,14.979371727682429,0
expenditure_total_expenditure_17673_493066885043_public_administration,1,1.0,14.969512507574168,14.969512507574168,0
expenditure_total_expenditure_19021_261638440003_infrastructure_and_transportation,1,1.0,14.984592472557217,14.984592472557217,0
expenditure_total_expenditure_2021_sector,1,1.0,15.228491333365286,15.228491333365286,0
expenditure_total_expenditure_2022_sector,1,1.0,15.1882468906626,15.1882468906626,0
expenditure_total_expenditure_2023_sector,1,1.0,15.203347350720769,15.203347350720769,0
expenditure_total_expenditure_22115_44479228_infrastructure_and_transportation,1,1.0,14.950142027606972,14.950142027606972,0
expenditure_total_expenditure_24993_66024555_municipal_services,1,1.0,14.891921991378462,14.891921991378462,0
expenditure_total_expenditure_27141_530719700004_economic_resources,1,1.0,14.891672709687697,14.891672709687697,0
expenditure_total_expenditure_29721_427763380005_economic_resources,1,1.0,14.87794104406139,14.87794104406139,0
expenditure_total_expenditure_45689_32698948_security_and_regional_administration,1,1.0,15.007502330997635,15.007502330997635,0
expenditure_total_expenditure_464923_3188843924,1,1.0,18.46783660642297,18.46783660642297,1
expenditure_total_expenditure_49600_97491437995_security_and_regional_administration,1,1.0,15.00447853966378,15.00447853966378,0
expenditure_total_expenditure_512925_1042616806,1,1.0,18.887473469591807,18.887473469591807,1
expenditure_total_expenditure_64009_11379564_general_items,1,1.0,15.2703446905634,15.2703446905634,0
expenditure_total_expenditure_68919_06677171_general_items,1,1.0,15.274847418915991,15.274847418915991,0
expenditure_total_expenditure_91109_64849529987_education,1,1.0,15.35579012688619,15.35579012688619,0
expenditure_total_expenditure_91839_55159809522_health_social_development,1,1.0,15.235791593459572,15.235791593459572,0
expenditure_total_expenditure_93904_6678946448_military,1,1.0,15.336285267201017,15.336285267201017,0
expenditure_total_expenditure_98340_90512722493_education,1,1.0,15.333317292751547,15.333317292751547,0
expenditure_total_expenditure_99534_43493580243_health_social_development,1,1.0,15.396765009343083,15.396765009343083,0
expenditure_total_expenditure_spending_until_h1,1,1.0,15.210109893172902,15.210109893172902,0
other_non_oil_revenue_2023_2023,1,1.0,13.453337995210802,13.453337995210802,0
